row_type,archive,member,payload_format,segment,bytes,uncompressed_bytes,codec,type_guess,sha256,rate_score_contribution,best_probe_codec,best_probe_bytes,best_probe_delta
zip_member,/Users/adpena/Projects/pact/experiments/results/lightning_batch/exact_eval_c091_next_cem_pose_waterfill_top192_s0125_m06_t4_20260503T1238Z/archive.zip,p,,,276385,276385,stored,public_pr75_p3_segactions_payload,44128c2715ad62ae4075e3b85e23403b3700f7ca1be876fb1f939318149cb84e,0.184085363757,input_bytes,276385,0
payload_segment,/Users/adpena/Projects/pact/experiments/results/lightning_batch/exact_eval_c091_next_cem_pose_waterfill_top192_s0125_m06_t4_20260503T1238Z/archive.zip,p,public_pr75_qzs3_qp1_segactions_p3,masks.mkv,219472,223385,brotli_av1_obu,brotli_av1_obu_mask_stream,d1ae0d39c848e5715b74bb0122269066a4a1ab60ba9e12f34e70fd62ac136d87,0.14613739616,input_bytes,219472,0
payload_segment,/Users/adpena/Projects/pact/experiments/results/lightning_batch/exact_eval_c091_next_cem_pose_waterfill_top192_s0125_m06_t4_20260503T1238Z/archive.zip,p,public_pr75_qzs3_qp1_segactions_p3,renderer.bin,55756,59288,brotli_qzs3,brotli_qzs3_renderer,e892539adec2406f87c824accc0effc80911f160ca8d324429c5d2bac175f2cf,0.03712563179,input_bytes,55756,0
payload_segment,/Users/adpena/Projects/pact/experiments/results/lightning_batch/exact_eval_c091_next_cem_pose_waterfill_top192_s0125_m06_t4_20260503T1238Z/archive.zip,p,public_pr75_qzs3_qp1_segactions_p3,seg_tile_actions.bin,255,432,brotli_seg_tile_actions_v1,binary_payload,e2f8a113ee9e4d009448fec2497602ef67cabb8a13ef8d3fa9e11d69ff8ceed6,0.000169794033,input_bytes,255,0
payload_segment,/Users/adpena/Projects/pact/experiments/results/lightning_batch/exact_eval_c091_next_cem_pose_waterfill_top192_s0125_m06_t4_20260503T1238Z/archive.zip,p,public_pr75_qzs3_qp1_segactions_p3,optimized_poses.qp1,892,1140,public_qp1_brotli,brotli_qp1_pose,c4c6e22ef870db7ede58170b14aec6a820a224b72106a411655507a534d70add,0.000593946186,input_bytes,892,0
zip_member,/Users/adpena/Projects/pact/experiments/results/renderer_pose_stack_worker_20260503/c101_renderer_x_top192/archive.zip,p,,,275583,275583,stored,public_pr75_p3_segactions_payload,1612b6c88f2fc1178e83be21a7fa9fa761cdad9a262a9122d084ad30dd4e9a75,0.183551344877,input_bytes,275583,0
payload_segment,/Users/adpena/Projects/pact/experiments/results/renderer_pose_stack_worker_20260503/c101_renderer_x_top192/archive.zip,p,public_pr75_qzs3_qp1_segactions_p3,masks.mkv,219472,223385,brotli_av1_obu,brotli_av1_obu_mask_stream,d1ae0d39c848e5715b74bb0122269066a4a1ab60ba9e12f34e70fd62ac136d87,0.14613739616,input_bytes,219472,0
payload_segment,/Users/adpena/Projects/pact/experiments/results/renderer_pose_stack_worker_20260503/c101_renderer_x_top192/archive.zip,p,public_pr75_qzs3_qp1_segactions_p3,renderer.bin,54954,59288,brotli_qzs3,brotli_qzs3_renderer,c90dc64d93094a85868ef815e902c5353d161309720ed0e149f0f1b03e37668a,0.03659161291,input_bytes,54954,0
payload_segment,/Users/adpena/Projects/pact/experiments/results/renderer_pose_stack_worker_20260503/c101_renderer_x_top192/archive.zip,p,public_pr75_qzs3_qp1_segactions_p3,seg_tile_actions.bin,255,432,brotli_seg_tile_actions_v1,binary_payload,e2f8a113ee9e4d009448fec2497602ef67cabb8a13ef8d3fa9e11d69ff8ceed6,0.000169794033,input_bytes,255,0
payload_segment,/Users/adpena/Projects/pact/experiments/results/renderer_pose_stack_worker_20260503/c101_renderer_x_top192/archive.zip,p,public_pr75_qzs3_qp1_segactions_p3,optimized_poses.qp1,892,1140,public_qp1_brotli,brotli_qp1_pose,c4c6e22ef870db7ede58170b14aec6a820a224b72106a411655507a534d70add,0.000593946186,input_bytes,892,0
