run_id,score,archive_bytes,rule_faithful_score,scale_w,scale_h,crf,gop,bframes,ref,preset_medium,preset_slow,filter_lanczos_bicubic,filter_lanczos_lanczos,filter_bicubic_bicubic
robust_current-baseline-cpu-2026-04-03,4.06,3735828,4.065705339595394,512,384,22,32,4,4,1,0,1,0,0
robust_current-medium21-cpu-2026-04-03,4.74,5005390,4.740559607331766,512,384,21,32,4,4,1,0,1,0,0
robust_current-medium23-cpu-2026-04-03,3.62,2819374,3.6183889310448754,512,384,23,32,4,4,1,0,1,0,0
robust_current-slow22-cpu-2026-04-03,4.13,3812776,4.128791779915672,512,384,22,32,4,4,0,1,1,0,0
robust_current-448x336-medium23-cpu-2026-04-03,3.56,1978141,3.562551302986074,448,336,23,32,4,4,1,0,1,0,0
robust_current-576x432-medium23-cpu-2026-04-03,4.26,3868552,4.263703892867531,576,432,23,32,4,4,1,0,1,0,0
robust_current-keyint24-cpu-2026-04-04,3.64,2018006,3.646726000239659,448,336,23,24,4,4,1,0,1,0,0
robust_current-keyint48-cpu-2026-04-04,3.56,1901606,3.5617568220853544,448,336,23,48,4,4,1,0,1,0,0
robust_current-keyint64-cpu-2026-04-04,3.61,1862992,3.613706858354431,448,336,23,64,4,4,1,0,1,0,0
robust_current-bicubic-bicubic-cpu-2026-04-04,3.67,1829217,3.6692647636539166,448,336,23,48,4,4,1,0,0,0,1
robust_current-lanczos-lanczos-cpu-2026-04-04,3.54,1901606,3.546277389901901,448,336,23,48,4,4,1,0,0,1,0
robust_current-bframes3-ref4-cpu-2026-04-04,3.57,2021782,3.568904302033391,448,336,23,48,3,4,1,0,0,1,0
robust_current-bframes5-ref4-cpu-2026-04-04,3.71,1897819,3.715850178661784,448,336,23,48,5,4,1,0,0,1,0
robust_current-bframes4-ref5-cpu-2026-04-04,3.55,1894366,3.5520846472034564,448,336,23,48,4,5,1,0,0,1,0
